TitleText: Sample histogram                                                                                                            
XLabel: values                                                                                                                         
86.0 -3.654181830570402
87.0 -3.8042260651806137
88.0 -3.9125904029352214
89.0 -3.9780875814730936
90.0 -4.0
91.0 -3.978087581473093
92.0 -3.912590402935223
93.0 -3.8042260651806146
94.0 -3.654181830570403
95.0 -3.464101615137753
96.0 -3.2360679774997907
97.0 -2.972579301909581
98.0 -2.6765224254354356
99.0 -2.351141009169894
100.0 -1.9999999999999993


Dataset:4
0.0 3.5
1.0 3.4859100289833367
2.0 3.4437535600952036
3.0 3.3738700124354866
4.0 3.2768220472390803
5.0 3.153391037658467
6.0 3.0045707776065314
7.0 2.831559480312316
8.0 2.6357501310126383
9.0 2.4187192714540267
10.0 2.1822143065055672
11.0 1.9281394350823593
12.0 1.6585403186554954
13.0 1.3755876107887328
14.0 1.081559480312316
15.0 0.7788232688471006
16.0 0.4698164303617944
17.0 0.15702690622680246
18.0 -0.15702690622680202
19.0 -0.46981643036179394
20.0 -0.7788232688471002
21.0 -1.0815594803123156
22.0 -1.3755876107887317
23.0 -1.658540318655495
24.0 -1.9281394350823586
25.0 -2.1822143065055672
26.0 -2.418719271454026
27.0 -2.635750131012638
28.0 -2.8315594803123156
29.0 -3.0045707776065314
30.0 -3.1533910376584666
31.0 -3.27682204723908
32.0 -3.3738700124354866
33.0 -3.4437535600952036
34.0 -3.4859100289833367
35.0 -3.5
36.0 -3.4859100289833367
37.0 -3.443753560095204
38.0 -3.3738700124354866
39.0 -3.2768220472390803
40.0 -3.153391037658467
41.0 -3.0045707776065327
42.0 -2.831559480312316
43.0 -2.6357501310126388
44.0 -2.418719271454028
45.0 -2.1822143065055677
46.0 -1.9281394350823593
47.0 -1.658540318655496
48.0 -1.3755876107887333
49.0 -1.0815594803123165
50.0 -0.778823268847101
51.0 -0.46981643036179477
52.0 -0.15702690622680288
53.0 0.1570269062268016
54.0 0.4698164303617935
55.0 0.7788232688470997
56.0 1.0815594803123154
57.0 1.375587610788732
58.0 1.6585403186554948
59.0 1.9281394350823582
60.0 2.182214306505567
61.0 2.4187192714540258
62.0 2.635750131012638
63.0 2.8315594803123156
64.0 3.004570777606531
65.0 3.1533910376584666
66.0 3.27682204723908
67.0 3.373870012435486
68.0 3.4437535600952036
69.0 3.4859100289833367
70.0 3.5
71.0 3.4859100289833367
72.0 3.443753560095204
73.0 3.3738700124354866
74.0 3.2768220472390808
75.0 3.1533910376584675
76.0 3.004570777606532
77.0 2.8315594803123165
78.0 2.6357501310126388
79.0 2.418719271454027
80.0 2.182214306505568
81.0 1.9281394350823597
82.0 1.658540318655499
83.0 1.3755876107887308
84.0 1.081559480312317
85.0 0.7788232688471014
86.0 0.4698164303617952
87.0 0.1570269062268064
88.0 -0.15702690622679805
89.0 -0.46981643036179616
90.0 -0.7788232688470993
91.0 -1.081559480312315
92.0 -1.3755876107887317
93.0 -1.6585403186554943
94.0 -1.928139435082358
95.0 -2.1822143065055664
96.0 -2.4187192714540253
97.0 -2.6357501310126374
98.0 -2.831559480312315
99.0 -3.004570777606531
100.0 -3.1533910376584666

Dataset:5
0.0 3.0
1.0 2.990752001199384
2.0 2.9630650217854133
3.0 2.91710976119303
4.0 2.853169548885461
5.0 2.7716385975338604
6.0 2.673019572565104
7.0 2.5579204930622765
8.0 2.4270509831248424
9.0 2.2812178968000927
10.0 2.121320343559643
11.0 1.9483441449905512
12.0 1.7633557568774194
13.0 1.5674956941478466
14.0 1.3619714992186405
15.0 1.1480502970952695
16.0 0.9270509831248425
17.0 0.7003360915677164
18.0 0.46930339512069275
19.0 0.235377287183535
20.0 1.836909530733566E-16
21.0 -0.23537728718353465
22.0 -0.46930339512069175
23.0 -0.700336091567716
24.0 -0.927050983124842
25.0 -1.148050297095269
26.0 -1.3619714992186402
27.0 -1.5674956941478464
28.0 -1.7633557568774192
29.0 -1.9483441449905508
30.0 -2.1213203435596424
31.0 -2.2812178968000927
32.0 -2.427050983124842
33.0 -2.5579204930622765
34.0 -2.6730195725651034
35.0 -2.77163859753386
36.0 -2.8531695488854605
37.0 -2.91710976119303
38.0 -2.9630650217854133
39.0 -2.990752001199384
40.0 -3.0
41.0 -2.9907520011993842
42.0 -2.9630650217854133
43.0 -2.91710976119303
44.0 -2.8531695488854614
45.0 -2.7716385975338604
46.0 -2.673019572565104
47.0 -2.557920493062276
48.0 -2.4270509831248424
49.0 -2.281217896800094
50.0 -2.121320343559643
51.0 -1.9483441449905523
52.0 -1.7633557568774199
53.0 -1.567495694147846
54.0 -1.361971499218641
55.0 -1.1480502970952686
56.0 -0.9270509831248428
57.0 -0.700336091567718
58.0 -0.46930339512069313
59.0 -0.2353772871835367
60.0 -5.510728592200698E-16
61.0 0.2353772871835356
62.0 0.469303395120692
63.0 0.7003360915677169
64.0 0.9270509831248417
65.0 1.1480502970952675
66.0 1.3619714992186398
67.0 1.5674956941478448
68.0 1.763355756877419
69.0 1.9483441449905514
70.0 2.121320343559642
71.0 2.281217896800093
72.0 2.427050983124842
73.0 2.5579204930622756
74.0 2.6730195725651034
75.0 2.7716385975338595
76.0 2.8531695488854605
77.0 2.91710976119303
78.0 2.963065021785413
79.0 2.990752001199384
80.0 3.0
81.0 2.9907520011993842
82.0 2.9630650217854138
83.0 2.91710976119303
84.0 2.853169548885461
85.0 2.77163859753386
86.0 2.673019572565104
87.0 2.557920493062278
88.0 2.427050983124844
89.0 2.2812178968000927
90.0 2.1213203435596433
91.0 1.9483441449905525
92.0 1.76335575687742
93.0 1.5674956941478484
94.0 1.3619714992186387
95.0 1.1480502970952688
96.0 0.9270509831248431
97.0 0.7003360915677184
98.0 0.46930339512069613
99.0 0.2353772871835344
100.0 9.18454765366783E-16

Dataset:6
1.0 2.4939101256495606
2.0 2.475670171853926
3.0 2.4453690018345142
4.0 2.4031542398457972
5.0 2.349231551964771
6.0 2.283863644106502
7.0 2.2073689821473175
8.0 2.120120240391065
9.0 2.0225424859373686
10.0 1.9151111077974452
11.0 1.798349500846628
12.0 1.6728265158971456
13.0 1.5391536883141457
14.0 1.397982258676867
15.0 1.2500000000000002
16.0 1.0959278669726935
17.0 0.9365164835397799
18.0 0.7725424859373686
19.0 0.6048047389991698
20.0 0.4341204441673261
21.0 0.26132115816913365
22.0 0.0872487417562527
23.0 -0.08724874175625184
24.0 -0.2613211581691333
25.0 -0.43412044416732576
26.0 -0.6048047389991694
27.0 -0.7725424859373684
28.0 -0.9365164835397801
29.0 -1.0959278669726937
30.0 -1.2499999999999996
31.0 -1.3979822586768669
32.0 -1.5391536883141457
33.0 -1.6728265158971456
34.0 -1.7983495008466281
35.0 -1.9151111077974448
36.0 -2.0225424859373686
37.0 -2.120120240391065
38.0 -2.207368982147317
39.0 -2.283863644106502
40.0 -2.349231551964771
41.0 -2.403154239845797
42.0 -2.4453690018345142
43.0 -2.475670171853926
44.0 -2.4939101256495606
45.0 -2.5
46.0 -2.4939101256495606
47.0 -2.475670171853926
48.0 -2.4453690018345142
49.0 -2.4031542398457972
50.0 -2.349231551964771
51.0 -2.2838636441065026
52.0 -2.207368982147317
53.0 -2.1201202403910653
54.0 -2.0225424859373686
55.0 -1.9151111077974452
56.0 -1.7983495008466277
57.0 -1.672826515897146
58.0 -1.5391536883141452
59.0 -1.3979822586768682
60.0 -1.2500000000000009
61.0 -1.0959278669726944
62.0 -0.9365164835397807
63.0 -0.772542485937369
64.0 -0.6048047389991695
65.0 -0.4341204441673258
66.0 -0.26132115816913337
67.0 -0.08724874175625412
68.0 0.0872487417562532
69.0 0.2613211581691325
70.0 0.4341204441673249
71.0 0.6048047389991686
72.0 0.7725424859373681
73.0 0.9365164835397799
74.0 1.0959278669726935
75.0 1.2500000000000002
76.0 1.3979822586768655
77.0 1.5391536883141463
78.0 1.6728265158971445
79.0 1.798349500846627
80.0 1.9151111077974445
81.0 2.022542485937368
82.0 2.1201202403910635
83.0 2.2073689821473175
84.0 2.283863644106502
85.0 2.3492315519647713
86.0 2.403154239845797
87.0 2.445369001834514
88.0 2.475670171853926
89.0 2.4939101256495606
90.0 2.5
91.0 2.4939101256495606
92.0 2.4756701718539262
93.0 2.4453690018345147
94.0 2.4031542398457972
95.0 2.349231551964771
96.0 2.283863644106503
97.0 2.207368982147318
98.0 2.1201202403910653
99.0 2.0225424859373677
100.0 1.9151111077974454

Dataset:7
0.0 2.0
1.0 1.9960534568565431
2.0 1.9842294026289558
3.0 1.9645745014573774
4.0 1.9371663222572622
5.0 1.902113032590307
6.0 1.859552971776503
7.0 1.8096541049320392
8.0 1.7526133600877272
9.0 1.6886558510040302
10.0 1.618033988749895
11.0 1.5410264855515785
12.0 1.457937254842823
13.0 1.3690942118573772
14.0 1.2748479794973795
15.0 1.1755705045849465
16.0 1.071653589957993
17.0 0.9635073482034303
18.0 0.8515585831301453
19.0 0.7362491053693562
20.0 0.6180339887498949
21.0 0.4973797743297095
22.0 0.3747626291714495
23.0 0.25066646712860896
24.0 0.12558103905862705
25.0 1.2246063538223773E-16
26.0 -0.1255810390586268
27.0 -0.2506664671286083
28.0 -0.3747626291714492
29.0 -0.4973797743297097
30.0 -0.6180339887498942
31.0 -0.7362491053693555
32.0 -0.8515585831301454
33.0 -0.9635073482034309
34.0 -1.0716535899579938
35.0 -1.175570504584946
36.0 -1.2748479794973795
37.0 -1.3690942118573775
38.0 -1.4579372548428227
39.0 -1.5410264855515783
40.0 -1.6180339887498947
41.0 -1.6886558510040297
42.0 -1.7526133600877272
43.0 -1.8096541049320387
44.0 -1.8595529717765027
45.0 -1.902113032590307
46.0 -1.937166322257262
47.0 -1.9645745014573774
48.0 -1.9842294026289555
49.0 -1.9960534568565431
50.0 -2.0
51.0 -1.9960534568565431
52.0 -1.9842294026289558
53.0 -1.9645745014573772
54.0 -1.9371663222572624
55.0 -1.9021130325903073
56.0 -1.859552971776503
57.0 -1.8096541049320394
58.0 -1.752613360087727
59.0 -1.6886558510040304
60.0 -1.6180339887498956
61.0 -1.5410264855515785
62.0 -1.4579372548428235
63.0 -1.3690942118573772
64.0 -1.274847979497379
65.0 -1.1755705045849465
66.0 -1.0716535899579926
67.0 -0.9635073482034305
68.0 -0.8515585831301443
69.0 -0.7362491053693556
70.0 -0.6180339887498951
71.0 -0.49737977432970887
72.0 -0.37476262917144926
73.0 -0.2506664671286092
74.0 -0.12558103905862641
75.0 -3.673819061467132E-16
76.0 0.12558103905862567
77.0 0.25066646712860846
78.0 0.37476262917144854
79.0 0.49737977432970987
80.0 0.6180339887498945
81.0 0.7362491053693548
82.0 0.8515585831301437
83.0 0.9635073482034314
84.0 1.0716535899579935
85.0 1.1755705045849458
86.0 1.2748479794973786
87.0 1.369094211857376
88.0 1.4579372548428224
89.0 1.5410264855515787
90.0 1.6180339887498947
91.0 1.6886558510040295
92.0 1.7526133600877263
93.0 1.8096541049320387
94.0 1.859552971776503
95.0 1.902113032590307
96.0 1.937166322257262
97.0 1.9645745014573774
98.0 1.9842294026289555
99.0 1.9960534568565431
100.0 2.0


Dataset:8
0.0 1.5
1.0 1.4975536558892035
2.0 1.4902226030228254
3.0 1.4780307537715396
4.0 1.4610178754135004
5.0 1.439239460421746
6.0 1.412766545459287
7.0 1.3816854796722753
8.0 1.3460976430370377
9.0 1.3061191156796659
10.0 1.2618802992467717
11.0 1.2135254915624212
12.0 1.1612124159586237
13.0 1.1051117068146072
14.0 1.0454063529829403
15.0 0.9822911009179277
16.0 0.9159718194531573
17.0 0.8466648283001538
18.0 0.7745961924584429
19.0 0.7000009848385107
20.0 0.6231225195028297
21.0 0.5442115580259614
22.0 0.4635254915624215
23.0 0.38132750129023063
24.0 0.2978856999686183
25.0 0.21347225740992767
26.0 0.12836251271825944
27.0 0.04283407619054471
28.0 -0.0428340761905442
29.0 -0.12836251271825957
30.0 -0.21347225740992748
31.0 -0.29788569996861813
32.0 -0.38132750129023013
33.0 -0.463525491562421
34.0 -0.5442115580259616
35.0 -0.6231225195028295
36.0 -0.7000009848385106
37.0 -0.7745961924584427
38.0 -0.8466648283001534
39.0 -0.9159718194531568
40.0 -0.9822911009179276
41.0 -1.04540635298294
42.0 -1.1051117068146075
43.0 -1.1612124159586237
44.0 -1.2135254915624207
45.0 -1.2618802992467715
46.0 -1.3061191156796654
47.0 -1.3460976430370375
48.0 -1.381685479672275
49.0 -1.4127665454592868
50.0 -1.439239460421746
51.0 -1.4610178754135001
52.0 -1.4780307537715396
53.0 -1.4902226030228254
54.0 -1.4975536558892035
55.0 -1.5
56.0 -1.4975536558892035
57.0 -1.4902226030228254
58.0 -1.4780307537715396
59.0 -1.4610178754135004
60.0 -1.4392394604217462
61.0 -1.412766545459287
62.0 -1.3816854796722753
63.0 -1.3460976430370375
64.0 -1.306119115679666
65.0 -1.2618802992467721
66.0 -1.2135254915624212
67.0 -1.161212415958624
68.0 -1.1051117068146072
69.0 -1.0454063529829403
70.0 -0.9822911009179278
71.0 -0.9159718194531575
72.0 -0.8466648283001538
73.0 -0.7745961924584436
74.0 -0.7000009848385109
75.0 -0.6231225195028295
76.0 -0.5442115580259622
77.0 -0.4635254915624214
78.0 -0.38132750129023146
79.0 -0.2978856999686188
80.0 -0.21347225740992787
81.0 -0.1283625127182606
82.0 -0.0428340761905449
83.0 0.04283407619054434
84.0 0.12836251271826005
85.0 0.2134722574099273
86.0 0.29788569996861824
87.0 0.38132750129022963
88.0 0.46352549156241957
89.0 0.5442115580259617
90.0 0.623122519502829
91.0 0.7000009848385104
92.0 0.774596192458442
93.0 0.8466648283001533
94.0 0.9159718194531571
95.0 0.9822911009179279
96.0 1.0454063529829398
97.0 1.1051117068146075
98.0 1.1612124159586232
99.0 1.2135254915624216
100.0 1.261880299246772


Dataset:9
0.0 1.0
1.0 0.9986295347545738
2.0 0.9945218953682733
3.0 0.9876883405951378
4.0 0.9781476007338057
5.0 0.9659258262890683
6.0 0.9510565162951535
7.0 0.9335804264972017
8.0 0.9135454576426009
9.0 0.8910065241883679
10.0 0.8660254037844387
11.0 0.838670567945424
12.0 0.8090169943749475
13.0 0.7771459614569709
14.0 0.7431448254773942
15.0 0.7071067811865476
16.0 0.6691306063588582
17.0 0.6293203910498375
18.0 0.5877852522924731
19.0 0.5446390350150272
20.0 0.5000000000000001
21.0 0.4539904997395468
22.0 0.4067366430758004
23.0 0.3583679495453004
24.0 0.30901699437494745
25.0 0.25881904510252074
26.0 0.20791169081775923
27.0 0.15643446504023092
28.0 0.10452846326765346
29.0 0.052335956242943744
30.0 2.8327492261615017E-16
31.0 -0.05233595624294362
32.0 -0.10452846326765333
33.0 -0.1564344650402308
34.0 -0.20791169081775934
35.0 -0.25881904510252063
36.0 -0.30901699437494734
37.0 -0.35836794954530027
38.0 -0.40673664307580004
39.0 -0.4539904997395467
40.0 -0.4999999999999998
41.0 -0.5446390350150268
42.0 -0.587785252292473
43.0 -0.6293203910498373
44.0 -0.6691306063588579
45.0 -0.7071067811865475
46.0 -0.743144825477394
47.0 -0.7771459614569709
48.0 -0.8090169943749473
49.0 -0.8386705679454239
50.0 -0.8660254037844387
51.0 -0.8910065241883678
52.0 -0.913545457642601
53.0 -0.9335804264972017
54.0 -0.9510565162951535
55.0 -0.9659258262890683
56.0 -0.9781476007338057
57.0 -0.9876883405951377
58.0 -0.9945218953682734
59.0 -0.9986295347545738
60.0 -1.0
61.0 -0.9986295347545738
62.0 -0.9945218953682734
63.0 -0.9876883405951378
64.0 -0.9781476007338057
65.0 -0.9659258262890684
66.0 -0.9510565162951536
67.0 -0.9335804264972019
68.0 -0.9135454576426009
69.0 -0.8910065241883679
70.0 -0.8660254037844388
71.0 -0.838670567945424
72.0 -0.8090169943749476
73.0 -0.777145961456971
74.0 -0.7431448254773942
75.0 -0.7071067811865477
76.0 -0.6691306063588585
77.0 -0.6293203910498378
78.0 -0.5877852522924732
79.0 -0.544639035015027
80.0 -0.5000000000000004
81.0 -0.4539904997395469
82.0 -0.4067366430758009
83.0 -0.3583679495452999
84.0 -0.30901699437494756
85.0 -0.25881904510252063
86.0 -0.2079116908177598
87.0 -0.15643446504023104
88.0 -0.10452846326765423
89.0 -0.052335956242943425
90.0 -1.836909530733566E-16
91.0 0.052335956242943946
92.0 0.10452846326765299
93.0 0.15643446504023067
94.0 0.20791169081775943
95.0 0.25881904510252113
96.0 0.30901699437494723
97.0 0.35836794954529955
98.0 0.40673664307579976
99.0 0.45399049973954664

Dataset:last but not least
0.0 0.5
1.0 0.4994161134161633
2.0 0.4976658173588243
3.0 0.49475319972552556
4.0 0.4906850630697067
5.0 0.485470908713026
6.0 0.4791229145545831
7.0 0.4716559066288715
8.0 0.4630873244788883
9.0 0.4534371804252727
10.0 0.44272801282660496
11.0 0.43098483344002464
12.0 0.41823506900511337
13.0 0.4045084971874737
14.0 0.3898371770316112
15.0 0.3742553740855506
16.0 0.35779948037206055
17.0 0.3405079293933985
18.0 0.3224211063680853
19.0 0.30358125390935564
20.0 0.28403237336557796
21.0 0.2638201220530664
22.0 0.2429917066213031
23.0 0.22159577279962067
24.0 0.19968229178284783
25.0 0.17730244352126778
26.0 0.15450849718747373
27.0 0.13135368909929354
28.0 0.10789209838390307
29.0 0.08417852067351932
30.0 0.060268340127661614
31.0 0.0362174000808812
32.0 0.012081872618066208
33.0 -0.012081872618066147
34.0 -0.03621740008088125
35.0 -0.06026834012766144
36.0 -0.08417852067351926
37.0 -0.10789209838390301
38.0 -0.13135368909929337
39.0 -0.15450849718747367
40.0 -0.17730244352126773
41.0 -0.19968229178284766
42.0 -0.22159577279962062
43.0 -0.24299170662130304
44.0 -0.26382012205306626
45.0 -0.28403237336557785
46.0 -0.3035812539093556
47.0 -0.32242110636808535
48.0 -0.3405079293933985
49.0 -0.3577994803720605
50.0 -0.3742553740855506
51.0 -0.38983717703161114
52.0 -0.40450849718747367
53.0 -0.41823506900511337
54.0 -0.43098483344002453
55.0 -0.4427280128266049
56.0 -0.4534371804252727
57.0 -0.4630873244788882
58.0 -0.4716559066288715
59.0 -0.4791229145545831
60.0 -0.48547090871302595
61.0 -0.4906850630697067
62.0 -0.49475319972552556
63.0 -0.4976658173588243
64.0 -0.49941611341616327
65.0 -0.5
66.0 -0.4994161134161633
67.0 -0.4976658173588243
68.0 -0.4947531997255255
69.0 -0.4906850630697067
70.0 -0.48547090871302606
71.0 -0.47912291455458306
72.0 -0.4716559066288716
73.0 -0.46308732447888834
74.0 -0.45343718042527276
75.0 -0.44272801282660496
76.0 -0.4309848334400247
77.0 -0.4182350690051134
78.0 -0.4045084971874738
79.0 -0.3898371770316112
80.0 -0.37425537408555065
81.0 -0.3577994803720606
82.0 -0.34050792939339874
83.0 -0.32242110636808513
84.0 -0.3035812539093557
85.0 -0.28403237336557796
86.0 -0.2638201220530664
87.0 -0.24299170662130334
88.0 -0.22159577279962092
89.0 -0.19968229178284758
90.0 -0.17730244352126795
91.0 -0.15450849718747378
92.0 -0.13135368909929349
93.0 -0.10789209838390346
94.0 -0.08417852067351916
95.0 -0.06026834012766134
96.0 -0.036217400080881375
97.0 -0.01208187261806627
98.0 0.012081872618066087
99.0 0.03621740008088119
100.0 0.0602683401276616
